parent_directory,is_file,name,size_in_bytes
C:\Users\ÿ\Desktop\python_home_work\.git\objects\f2,True,9ca7a0900c1a5223fdf440c98ff00e46512265,576
C:\Users\ÿ\Desktop\python_home_work\.git\objects\f2,True,b9b42e1b267aced2441f329e4dee85fb1af24a,109
C:\Users\ÿ\Desktop\python_home_work\.git\objects\f6,True,af93f67dc7d501f83c58c3a103d03b271a4f51,651
C:\Users\ÿ\Desktop\python_home_work\.git\objects\f8,True,cd4121a833dcd307fedae1fc3055fcd418fdba,193
C:\Users\ÿ\Desktop\python_home_work\.git\objects\f9,True,f190921555da2b7e4a782eadd8cc2f764e239a,183
C:\Users\ÿ\Desktop\python_home_work\.git\objects\fa,True,6051fa111a52d04c389938bb9421b8d045550e,21
C:\Users\ÿ\Desktop\python_home_work\.git\refs,False,heads,287
C:\Users\ÿ\Desktop\python_home_work\.git\refs,False,remotes,287
C:\Users\ÿ\Desktop\python_home_work\.git\refs,False,tags,0
C:\Users\ÿ\Desktop\python_home_work\.git\refs\heads,True,dz_2,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\heads,True,dz_3,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\heads,True,dz_4,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\heads,True,dz_5,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\heads,True,dz_6,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\heads,True,dz_7,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\heads,True,master,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\remotes,False,github,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\remotes,False,origin,246
C:\Users\ÿ\Desktop\python_home_work\.git\refs\remotes\github,True,master,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\remotes\origin,True,dz_2,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\remotes\origin,True,dz_3,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\remotes\origin,True,dz_4,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\remotes\origin,True,dz_5,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\remotes\origin,True,dz_6,41
C:\Users\ÿ\Desktop\python_home_work\.git\refs\remotes\origin,True,dz_7,41
C:\Users\ÿ\Desktop\python_home_work\.idea,True,.gitignore,50
C:\Users\ÿ\Desktop\python_home_work\.idea,True,misc.xml,208
C:\Users\ÿ\Desktop\python_home_work\.idea,True,modules.xml,291
C:\Users\ÿ\Desktop\python_home_work\.idea,True,python_home_work.iml,361
C:\Users\ÿ\Desktop\python_home_work\.idea,True,vcs.xml,185
C:\Users\ÿ\Desktop\python_home_work\.idea,True,workspace.xml,13850
C:\Users\ÿ\Desktop\python_home_work\.idea,False,inspectionProfiles,174
C:\Users\ÿ\Desktop\python_home_work\.idea\inspectionProfiles,True,profiles_settings.xml,174
C:\Users\ÿ\Desktop\python_home_work\home_works3,True,home_work_33.py,3388
C:\Users\ÿ\Desktop\python_home_work\home_works3,True,home_work_3_1.py,2095
C:\Users\ÿ\Desktop\python_home_work\home_works3,True,home_work_3_2.py,455
C:\Users\ÿ\Desktop\python_home_work\home_works3,True,home_work_3_4.py,999
C:\Users\ÿ\Desktop\python_home_work\home_works_2,True,home_work_2_1.py,1230
C:\Users\ÿ\Desktop\python_home_work\home_works_2,True,home_work_2_2.py,531
C:\Users\ÿ\Desktop\python_home_work\home_works_2,True,home_work_2_3.py,1075
C:\Users\ÿ\Desktop\python_home_work\home_works_3,True,home_work_3_3.py,3390
C:\Users\ÿ\Desktop\python_home_work\home_works_4,True,task_4_1.py,846
C:\Users\ÿ\Desktop\python_home_work\home_works_4,True,task_4_2.py,805
C:\Users\ÿ\Desktop\python_home_work\home_works_4,True,task_4_3.py,7294
C:\Users\ÿ\Desktop\python_home_work\home_works_5,True,task_5_1.py,584
C:\Users\ÿ\Desktop\python_home_work\home_works_5,True,task_5_2.py,841
C:\Users\ÿ\Desktop\python_home_work\home_works_5,True,task_5_3.py,409
C:\Users\ÿ\Desktop\python_home_work\home_works_6,True,task_6_1.py,1564
C:\Users\ÿ\Desktop\python_home_work\home_works_6,True,task_6_2.py,1047
C:\Users\ÿ\Desktop\python_home_work\home_works_6,True,task_6_3.py,1058
C:\Users\ÿ\Desktop\python_home_work\home_works_6,True,task_6_4.py,548
C:\Users\ÿ\Desktop\python_home_work\home_works_6,False,ferzy,1212
C:\Users\ÿ\Desktop\python_home_work\home_works_6\ferzy,True,_init.py_.py,0
C:\Users\ÿ\Desktop\python_home_work\home_works_6\ferzy,True,ñhess_board.py,1212
C:\Users\ÿ\Desktop\python_home_work\home_works_7,True,task_7_1.py,1571
C:\Users\ÿ\Desktop\python_home_work\home_works_7,True,task_7_2.py,2087
C:\Users\ÿ\Desktop\python_home_work\home_works_7,False,lesson_fails,7595
C:\Users\ÿ\Desktop\python_home_work\home_works_7\lesson_fails,True,less_7.py,859
C:\Users\ÿ\Desktop\python_home_work\home_works_7\lesson_fails,True,ls4.py,1474
C:\Users\ÿ\Desktop\python_home_work\home_works_7\lesson_fails,True,ls5.py,1499
C:\Users\ÿ\Desktop\python_home_work\home_works_7\lesson_fails,True,ls72.py,983
C:\Users\ÿ\Desktop\python_home_work\home_works_7\lesson_fails,True,ls73.py,1939
C:\Users\ÿ\Desktop\python_home_work\home_works_7\lesson_fails,True,task7_1.txt,297
C:\Users\ÿ\Desktop\python_home_work\home_works_7\lesson_fails,True,task7_2.txt,78
C:\Users\ÿ\Desktop\python_home_work\home_works_7\lesson_fails,True,task7_3.txt,466
C:\Users\ÿ\Desktop\python_home_work\home_works_7\lesson_fails,True,_init_.py,0
C:\Users\ÿ\Desktop\python_home_work\home_works_8,True,output.csv,118194
C:\Users\ÿ\Desktop\python_home_work\home_works_8,True,output.json,210693
C:\Users\ÿ\Desktop\python_home_work\home_works_8,True,output.pickle,55904
C:\Users\ÿ\Desktop\python_home_work\home_works_8,True,task_8_1.py,2147
